,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
78,Boutique d'accessoires de mode,facettes-paris.com,"4,8",128,93,4,<1,0,2
79,Boutique de lingerie,simplement-lingerie.fr,"4,8",127,94,5,<1,0,0
80,Magasin de vélos,PASTEL Cycles,"4,8",124,93,4,2,<1,0
81,Magasin de vêtements,Kamshoes,"4,8",120,97,2,<1,0,0
82,Magasin de vêtements pour enfants,Boutique Marquise de Laborde Paris,"4,8",107,99,0,0,0,<1
83,Magasin de perruques,Mai's Secrets,"4,8",95,87,10,0,1,2
84,Magasin de pierres naturelles,Oodaj,"4,8",94,97,3,0,0,0
85,Magasin de vêtements,Paradigme,"4,8",94,97,2,0,0,1
86,Horlogerie,Chrono-Shop Rolex Vintages Parts,"4,8",93,96,2,0,1,1
87,Boutique d'objets à collectionner,Les Soeurs Weasley,"4,8",87,96,3,1,0,0
88,Magasin de vêtements,Kapitales,"4,8",79,93,4,3,0,0
89,Horlogerie,Olymp Luxury,"4,8",79,98,1,1,0,0
90,Magasin de vêtements pour femmes,Narkis Fashion,"4,8",77,79,16,1,3,1
91,Grossiste en vêtements,Vent d'Ouest Impression,"4,8",76,95,4,0,0,1
92,Boutique d'articles de mode,Joee,"4,8",68,100,0,0,0,0
93,Bijouterie fantaisie,By Maudi,"4,8",59,96,2,0,0,2
94,Magasin de vêtements pour femmes,Amae,"4,8",57,98,2,0,0,0
95,Magasin de pierres naturelles,Coralie Shop,"4,8",57,100,0,0,0,0
96,Magasin d'articles de sports,Sportingoodz,"4,8",54,98,2,0,0,0
97,Magasin d'articles de football,Trincamp,"4,8",53,100,0,0,0,0
98,Horlogerie,Lespecialistevintage,"4,8",52,100,0,0,0,0
99,Magasin de vêtements pour enfants,www.ludilabel.fr,"4,7",51049,84,11,2,1,2
100,Magasins d'appareils de fitness,Chin Mudra,"4,7",15112,82,12,3,1,2
101,Magasin de vêtements pour femmes,Toonzshop,"4,7",14588,82,12,3,1,2
102,Bijouterie,Atelierdefamille,"4,7",9052,73,15,6,3,3
103,Magasin de vêtements pour enfants,Terre de marins,"4,7",8620,80,15,3,1,1
104,Magasin de vêtements de sport (activewear),Glisse Proshop,"4,7",8150,85,10,2,<1,2
105,Bijouterie,Petits Tresors,"4,7",5815,75,14,6,3,2
106,Bijouterie fantaisie,Bohm Paris,"4,7",4971,88,6,2,2,2
107,Fournisseur de lentilles de contact,Lentiamo.fr,"4,7",2901,76,13,5,2,4
