,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
830,Fabricant de bijoux,Brin de Folie'z,"4,4",50,82,8,2,2,6
831,Magasin de vêtements vintage,ENDKICKS,"4,4",46,83,6,9,0,2
832,Magasin de chaussures,Lace It Shop,"4,4",44,98,0,0,0,2
833,Magasin de vêtements pour femmes,Absolème,"4,4",41,66,22,5,2,5
834,Bijouterie,21DIAMONDS France,"4,4",38,76,13,3,3,5
835,Bijouterie,Popup Bijoux,"4,4",38,76,24,0,0,0
836,Magasin de vêtements de plein air,UPF Boutique,"4,4",35,83,8,3,3,3
837,Magasin de vêtements,Coco Friendly,"4,4",34,94,0,0,0,6
838,Boutique d'accessoires de mode,hi-baby.fr,"4,4",32,91,3,0,0,6
839,Magasin de sous-vêtements,Relaxsanshop,"4,4",32,85,6,3,0,6
840,Entreprise d'électronique,Sanorra,"4,4",28,82,14,0,4,0
841,Shopping & mode,Bajoia,"4,4",27,92,4,4,0,0
842,Magasin de puériculture,Jouet De-bois,"4,4",23,74,22,4,0,0
843,Boutique d'articles de mode,Reset,"4,4",23,96,0,0,0,4
844,Bijouterie,Opéra Perles,"4,4",21,90,10,0,0,0
845,Magasin de vêtements,Bielle Française,"4,4",21,85,5,5,5,0
846,Magasin de sacs,Madoak,"4,4",21,81,5,5,0,9
847,Magasin de vêtements,KOZZE,"4,4",20,70,25,5,0,0
848,Boutique de santé et beauté,Monchanvre.fr : la marketplace du chanvre français,"4,4",20,85,10,5,0,0
849,Shopping & mode,Planetebag,"4,4",18,72,17,5,0,6
850,Bijouterie fantaisie,Ascadia,"4,4",18,100,0,0,0,0
851,Fabricant de bijoux,Filles en or,"4,4",18,89,5,0,6,0
852,Shopping & mode,Vin'Nuances,"4,4",17,88,6,0,0,6
853,Boutique de minéraux,Da Nature,"4,4",16,100,0,0,0,0
854,Horlogerie,Tradeewatches,"4,4",16,94,6,0,0,0
855,Bijouterie fantaisie,By Emmy,"4,4",16,94,0,0,6,0
856,Bijouterie,SLOYA,"4,4",16,88,6,6,0,0
857,Shopping & mode,KARNABI,"4,4",15,73,20,7,0,0
858,Fabricant de bijoux,MY LONDON DRESS,"4,4",15,93,0,7,0,0
859,Shopping & mode,SY Galerie,"4,4",15,93,7,0,0,0
860,Shopping & mode,Zestful Compression,"4,4",15,87,13,0,0,0
861,Fabricant de bijoux,MY LONDON DRESS,"4,4",15,93,0,7,0,0
862,Shopping & mode,SY Galerie,"4,4",15,93,7,0,0,0
863,Service SEO,Avis Site Internet - Annuaire SEO,"4,4",15,100,0,0,0,0
864,Service de broderie,Kikoune Créations,"4,4",15,93,7,0,0,0
865,Shopping & mode,Neuf Mois Belle,"4,4",14,86,14,0,0,0
866,Boutique d'accessoires de mode,LGF,"4,4",14,100,0,0,0,0
867,Magasin de vêtements,Boutiquefroufrou,"4,4",14,86,14,0,0,0
868,Boutique de cadeaux,Malaya Paris,"4,4",14,93,7,0,0,0
869,Magasin de couture,Mjbcouture,"4,4",13,77,15,0,0,8
870,Magasin de vêtements vintage,Bleu Patine,"4,4",13,100,0,0,0,0
871,Friperie,Les Astucieuses,"4,4",13,92,8,0,0,0
872,Pressing,Dailywash,"4,4",13,100,0,0,0,0
873,Boutique de robes,Bellecommemaman,"4,4",13,92,8,0,0,0
874,Magasin de vêtements vintage,Angelz Tribe,"4,4",13,92,8,0,0,0
875,Magasin de streetwear,Destroy District,"4,4",12,100,0,0,0,0
876,Maison de haute couture,RUSLAN GUMENNYY,"4,4",12,100,0,0,0,0
877,Magasin de chaussures,CopnCop,"4,4",12,92,8,0,0,0
878,Shopping & mode,Heartjacking,"4,4",12,83,0,0,0,17
879,Magasin de chaussures,Kollectible,"4,4",12,100,0,0,0,0
880,Boutique d'articles de mode,Renaisa,"4,4",12,100,0,0,0,0
881,Pressing,Pressing Aqualogia Marsac-sur-l'Isle,"4,4",12,100,0,0,0,0
882,Bijouterie fantaisie,Inoki,"4,4",12,75,0,0,0,25
883,Magasin de vêtements pour femmes,emmanuella.fr,"4,4",12,100,0,0,0,0
884,Magasin d'articles pour animaux,Les Ateliers de Shiro,"4,4",12,100,0,0,0,0
885,Shopping & mode,Damkoparis,"4,4",12,100,0,0,0,0
886,Magasin de chaussures,Footmarketplace,"4,4",12,100,0,0,0,0
887,Magasin de chaussures,Tapatshoes,"4,4",12,100,0,0,0,0
888,Magasin de vêtements,Salty Smile,"4,4",12,100,0,0,0,0
889,Bijouterie,Perla Creation,"4,4",12,100,0,0,0,0
890,Artisanat d'art,Res Mirum,"4,4",12,100,0,0,0,0
891,Fabricant de bijoux,Mademoiselleambre,"4,4",12,100,0,0,0,0
892,Magasin de vêtements,Infirmiere Shop,"4,4",11,91,9,0,0,0
893,Magasin de vêtements vintage,Lysis,"4,4",11,100,0,0,0,0
894,Magasin de t-shirts,PopShirt,"4,4",11,100,0,0,0,0
895,Grand magasin,Insane RC,"4,4",11,91,9,0,0,0
896,Magasin de vêtements pour bébés,Les Ateliers d'Alzade,"4,4",11,100,0,0,0,0
897,Service e-commerce,Anniga Pop,"4,4",11,100,0,0,0,0
898,Magasin de vêtements pour femmes,BYM GENERATION,"4,4",11,100,0,0,0,0
899,Shopping & mode,Parfaite Elegance,"4,4",11,100,0,0,0,0
900,Magasin de chaussures,The Culture Depot,"4,4",11,100,0,0,0,0
901,Boutique d'accessoires de mode,Enjoyceshop,"4,4",11,91,9,0,0,0
902,Magasin de vêtements vintage,Carver and Clayborne,"4,4",11,100,0,0,0,0
903,Shopping & mode,Hommeos,"4,4",11,91,9,0,0,0
904,Boutique de t-shirts personnalisés,Kymono,"4,4",11,100,0,0,0,0
905,Magasin de puériculture,Bloomy Baby,"4,4",11,100,0,0,0,0
906,Magasin de vêtements pour hommes,Menone,"4,4",11,100,0,0,0,0
907,Magasin de sacs et bagages,Ultraversat,"4,4",11,100,0,0,0,0
908,Boutique d'articles de mode,Sozély,"4,4",11,100,0,0,0,0
909,Boutique de sacs à main,Elinnor,"4,4",10,100,0,0,0,0
910,Boutique d'accessoires de mode,À L’ÔRIGINE concept,"4,4",10,100,0,0,0,0
911,Grand magasin,Association Lentraide,"4,4",10,90,10,0,0,0
912,Magasin de chaussures,Lastsneaks,"4,4",10,100,0,0,0,0
913,Boutique de cadeaux,Interieur jour : Home Design Store,"4,4",10,100,0,0,0,0
914,Magasin de vêtements pour femmes,Les Merveilleuses,"4,4",10,100,0,0,0,0
915,Fabricant de vêtements de sport,Bellyshake,"4,4",10,100,0,0,0,0
916,Bijouterie,Hasfalt,"4,4",10,100,0,0,0,0
917,Magasin de vêtements de sport (activewear),JOG ET JIM,"4,4",10,100,0,0,0,0
918,Antiquaire,La Malle Fleurie,"4,4",10,100,0,0,0,0
919,Fabricant de bijoux,Maison Onyx,"4,4",10,100,0,0,0,0
920,Magasin de vêtements imprimés,Spreadshirt France,"4,3",25360,65,19,7,4,5
921,Magasin de sous-vêtements,Freegun,"4,3",8505,69,16,7,3,5
922,Site d'entreprise,vertbaudet,"4,3",6667,59,13,4,2,22
923,Magasin de sous-vêtements,REPEAT,"4,3",2071,66,22,3,2,7
924,Magasin de vêtements,Stand-prive.com,"4,3",1838,61,20,6,4,9
925,Magasin de chaussures,M. Moustache,"4,3",1286,73,10,4,3,10
926,Bijouterie,Menē,"4,3",1071,77,9,4,4,6
927,Magasin de vêtements pour enfants,Little Cigogne,"4,3",543,70,11,3,3,13
928,Magasin de vêtements pour enfants,Bumdiapers,"4,3",500,73,16,5,3,3
929,Magasin de vêtements pour femmes,Brazilian Bikini Shop,"4,3",485,77,11,2,3,7
930,Magasin de chaussures,izicop,"4,3",477,79,10,1,1,9
931,Grand magasin,Super Insolite,"4,3",361,63,23,5,3,6
932,Magasin de maillots de bain,KHASSANI SWIMWEAR,"4,3",343,57,7,4,4,28
933,Fournisseur de textile,TISSUS LIONEL,"4,3",254,68,15,6,4,7
934,Magasin de vêtements pour femmes,Miss-Sea,"4,3",206,82,12,2,2,2
935,Shopping & mode,gaala.com,"4,3",150,91,<1,<1,0,7
936,Magasin de vêtements,Compañero,"4,3",120,87,2,3,0,8
937,Magasin de vêtements,Everyday fun socks,"4,3",86,88,4,0,1,7
938,Régie publicitaire,Allocakes,"4,3",63,73,11,5,3,8
939,Shopping & mode,Nat Essence,"4,3",61,80,8,2,7,3
940,Magasin de vêtements pour femmes,sudexpress.fr,"4,3",59,68,7,3,3,19
941,Bijouterie fantaisie,BE SLAY,"4,3",50,68,20,4,6,2
942,Boutique d'articles de mode,Luxedefrance,"4,3",40,90,2,3,0,5
943,Boutique de t-shirts personnalisés,Shirtinator AG,"4,3",38,63,21,5,3,8
944,Shopping & mode,Piercing Street,"4,3",34,70,9,6,6,9
945,Artisanat,Saoni Boutique,"4,3",31,58,36,3,0,3
946,Boutique de lingerie,Ma Delicate Culotte,"4,3",30,67,27,3,3,0
947,Magasin de chaussures,Kulture Lyon,"4,3",30,77,13,0,3,7
948,Magasin de maillots de bain,Imranswimwear,"4,3",24,88,4,0,4,4
949,Boutique d'accessoires de mode,Maisonbayle,"4,3",24,92,4,0,4,0
950,Service de coupons d'achat,Offresasaisir,"4,3",23,87,13,0,0,0
951,Tailleur pour hommes,Maison Singulier,"4,3",22,73,9,14,4,0
952,Bijouterie fantaisie,Les Bijoux Chics,"4,3",22,91,4,0,0,5
953,Magasin de tricot,La mercerie du bonheur,"4,3",19,79,11,5,5,0
954,Bijouterie fantaisie,Les Coquettes De Sète,"4,3",19,90,5,0,0,5
955,Magasin de vêtements pour hommes,Discountmarques.com,"4,3",19,68,21,11,0,0
956,Service de remise en espèces,Cashbackgeneration,"4,3",18,83,11,0,0,6
957,Boutique d'accessoires de mode,Masques Normes Afnor,"4,3",17,82,12,0,0,6
958,Magasin de sous-vêtements,Placedelalingerie,"4,3",17,76,18,6,0,0
959,Boutique de t-shirts personnalisés,Oslog France,"4,3",16,81,13,6,0,0
960,Magasin de vêtements pour femmes,You&Milk,"4,3",16,88,0,0,6,6
961,Magasin de chaussures,GLISSINSIDE,"4,3",15,73,20,7,0,0
962,Magasin de déguisements,Bodysocks,"4,3",14,72,14,0,7,7
963,Fournisseur de cosmétiques et de parfums,Aupaysdessenteurs,"4,3",14,86,7,0,0,7
964,Shopping & mode,Groomscorner,"4,3",13,85,15,0,0,0
965,Boutique d'accessoires de mode,Akrochic,"4,3",13,84,0,8,8,0
966,Fabricant de vêtements de sport,XRBAN,"4,3",13,69,31,0,0,0
967,Service e-commerce,Fastmarkt.com,"4,3",13,92,0,0,0,8
968,Boutique d'articles de mode,Shany Collection,"4,3",12,75,25,0,0,0
969,Shopping & mode,Eelux,"4,3",11,100,0,0,0,0
970,Magasin de vêtements pour enfants,Lapetiteemma,"4,3",11,91,9,0,0,0
971,Magasin de vêtements vintage,Beije,"4,3",11,91,9,0,0,0
972,Friperie,Compil store,"4,3",11,91,9,0,0,0
973,Shopping & mode,Le Feuillet,"4,3",11,91,9,0,0,0
974,Boutique de t-shirts personnalisés,ClickTee - T-Shirts et Mugs Personnalisés,"4,3",11,91,9,0,0,0
975,Shopping & mode,Affane,"4,3",10,90,0,0,10,0
976,Magasin de vêtements,Nineties,"4,3",10,100,0,0,0,0
977,Boutique d'accessoires de mode,Wild Gaze,"4,3",10,100,0,0,0,0
978,Magasin de vêtements imprimés,BNJ Clothing,"4,3",10,100,0,0,0,0
979,Shopping & mode,Mon Mariage-reussi,"4,3",10,80,20,0,0,0
980,Magasin de vêtements,Nineties,"4,3",10,100,0,0,0,0
981,Shopping & mode,Mon Mariage-reussi,"4,3",10,80,20,0,0,0
982,Boutique d'accessoires de mode,Wild Gaze,"4,3",10,100,0,0,0,0
983,Shopping & mode,Affane,"4,3",10,90,0,0,10,0
984,Boutique d'accessoires de mode,Saggi Jewels,"4,3",10,100,0,0,0,0
985,Magasin de vêtements,NAHO STUDIO,"4,3",10,90,0,10,0,0
986,Bijouterie fantaisie,ORANGE AMOUR,"4,3",10,90,0,0,0,10
987,Fabricant de bijoux,Lithosmose,"4,3",10,100,0,0,0,0
988,Boutique d'accessoires de mode,SAVE,"4,3",10,100,0,0,0,0
989,Couturier,Better Call Bettie,"4,3",9,100,0,0,0,0
990,Magasin de chaussures,TheNewKickz,"4,3",9,100,0,0,0,0
991,Site de comparaison de prix,Comparateur de Formation,"4,3",9,100,0,0,0,0
992,Magasin de sacs et bagages,Atoibox,"4,3",9,89,11,0,0,0
993,Décorateur d'intérieur,dreamcatchers.fr,"4,3",9,100,0,0,0,0
994,Magasin de chaussures,Before Drop,"4,3",9,100,0,0,0,0
995,Shopping & mode,Barocabijouxparis,"4,3",9,100,0,0,0,0
996,Magasin de streetwear,Ryojin,"4,3",9,89,11,0,0,0
997,Boutique d'accessoires de mode,Arabicwatchshop,"4,3",9,100,0,0,0,0
998,Boutique de t-shirts personnalisés,Fd Paris,"4,3",9,100,0,0,0,0
999,Artisanat,Atelier Mellony,"4,3",9,89,11,0,0,0
1000,Magasin de vêtements de sport (activewear),Sobra,"4,3",9,100,0,0,0,0
1001,Fournisseur de textile,Club Tina,"4,3",9,100,0,0,0,0
1002,Boutique de minéraux,Orabulle,"4,3",9,100,0,0,0,0
1003,Boutique d'articles de mode,Leny Shop,"4,3",9,100,0,0,0,0
1004,Horlogerie,Temple of Time,"4,3",9,89,11,0,0,0
1005,Magasin de vêtements imprimés,Etfierdeletre.fr,"4,3",9,100,0,0,0,0
1006,Marchand d'art,la little popart gallery,"4,3",9,100,0,0,0,0
1007,Magasin de vêtements imprimés,Monpetitavocat,"4,3",9,100,0,0,0,0
1008,Magasin de vêtements,Wondersquare,"4,3",9,89,11,0,0,0
1009,Service de coupons d'achat,Bon2reduction.com,"4,3",9,89,11,0,0,0
1010,Bijouterie,Arasia Shop,"4,3",9,89,11,0,0,0
1011,Bijouterie,www.kara-diamonds.com,"4,3",9,100,0,0,0,0
1012,Boutique d'accessoires de mode,Lesbarrettesdenana,"4,3",9,100,0,0,0,0
1013,Fabricant de bijoux,Gaiani,"4,3",9,100,0,0,0,0
1014,Fabricant de maroquinerie,Les petits Noeuds de Lucie,"4,3",9,100,0,0,0,0
1015,Magasin de vêtements,Emilie E shop,"4,3",9,100,0,0,0,0
1016,Boutique d'accessoires de mode,Lesgaleriesjelo,"4,3",8,100,0,0,0,0
1017,Magasin de vêtements,Fenyx Shop,"4,3",8,100,0,0,0,0
1018,Services de voyance,Harmoniepoursoi,"4,3",8,100,0,0,0,0
1019,Boutique d'articles de mode,Nostalgia Paris,"4,3",8,100,0,0,0,0
1020,Boutique d'articles de mode,Nostalgia Paris,"4,3",8,100,0,0,0,0
1021,Boutique d'accessoires de mode,Hédison,"4,3",8,100,0,0,0,0
1022,Bijouterie,Ma Touche Bijoux,"4,3",8,100,0,0,0,0
1023,Magasin de vêtements,Fenyx Shop,"4,3",8,100,0,0,0,0
1024,Magasin de vêtements,Sudistenvogue,"4,3",8,100,0,0,0,0
1025,Boutique d'accessoires de mode,Vert Jade Maroquinerie,"4,3",8,100,0,0,0,0
1026,Magasin de vêtements,Élégamment vôtre,"4,3",8,100,0,0,0,0
1027,Magasin d'articles de sports,SPOTT,"4,3",8,100,0,0,0,0
1028,Boutique d'accessoires de mode,Virginie riou,"4,3",8,100,0,0,0,0
1029,Magasin de puériculture,Monsieurmole,"4,3",8,100,0,0,0,0
1030,Services de voyance,Harmoniepoursoi,"4,3",8,100,0,0,0,0
1031,Boutique d'accessoires de mode,Lesgaleriesjelo,"4,3",8,100,0,0,0,0
1032,Bijouterie fantaisie,Diva,"4,3",8,100,0,0,0,0
1033,Bijouterie,Divenly,"4,3",8,100,0,0,0,0
1034,Magasin de chaussures,OOS Sneakers,"4,3",8,100,0,0,0,0
1035,Magasin de vêtements,Teachies,"4,3",8,100,0,0,0,0
1036,Magasin de kimonos,Mallia Kimono,"4,3",7,100,0,0,0,0
1037,Shopping & mode,ByKaza,"4,3",7,100,0,0,0,0
1038,Grand magasin,La Crânerie,"4,3",7,100,0,0,0,0
1039,Magasin de vêtements,AKA - Djiké Brand of Hope,"4,3",7,100,0,0,0,0
1040,Magasin de vêtements,321soleil.fr,"4,3",7,100,0,0,0,0
1041,Boutique de sacs à main,Evidence,"4,3",7,100,0,0,0,0
1042,Magasin de vêtements pour enfants,Appelle Moi Maman,"4,3",7,100,0,0,0,0
1043,Magasin de vêtements pour femmes,ARMADIO 55,"4,3",7,100,0,0,0,0
1044,Magasin de kimonos,Mallia Kimono,"4,3",7,100,0,0,0,0
1045,Grand magasin,La Crânerie,"4,3",7,100,0,0,0,0
1046,Shopping & mode,ByKaza,"4,3",7,100,0,0,0,0
1047,Magasin de vêtements,AKA - Djiké Brand of Hope,"4,3",7,100,0,0,0,0
1048,Magasin de vêtements de sport (activewear),Juicy Peach,"4,3",7,100,0,0,0,0
1049,Magasin de chaussures,Safecop,"4,3",7,100,0,0,0,0
1050,Magasin de vêtements,Substance Biarritz,"4,3",7,100,0,0,0,0
1051,Magasin de sous-vêtements,Hislim,"4,3",7,100,0,0,0,0
1052,Boutique de sacs à main,L en Bobines,"4,3",7,100,0,0,0,0
1053,Service de crypto-monnaie,Redeemfor.me,"4,3",7,100,0,0,0,0
1054,Magasin de vêtements,Madame Pénélope.,"4,3",7,100,0,0,0,0
1055,Magasin de maroquinerie,Claudetteparis,"4,3",7,100,0,0,0,0
1056,Service de rachat de bijoux,Argor Belfort,"4,3",7,100,0,0,0,0
1057,Magasin de chaussures,Coptsneakers,"4,3",7,100,0,0,0,0
1058,Shopping & mode,Lancaster Group,"4,3",7,100,0,0,0,0
1059,Magasin de jouets,Avenue des Jeux,"4,2",20237,61,19,9,4,7
1060,Magasin de vêtements pour femmes,AKOUSTIK l'empreinte de la mode ethnique,"4,2",6344,61,23,10,3,3
1061,Bijouterie,Fil Aluminium,"4,2",2734,80,15,3,<1,1
1062,Bijouterie,Subtil Diamant,"4,2",1146,67,16,7,4,6
1063,Bijouterie,Adamence,"4,2",1041,77,14,5,2,2
1064,Magasin de puériculture,Yoopies.fr,"4,2",847,71,17,3,1,8
1065,Shopping & mode,Paris Flavor,"4,2",665,69,13,3,1,14
1066,Fabricant de bijoux,Mybouddha,"4,2",339,65,24,3,1,7
1067,Grossiste en lunettes,Direct Optic,"4,2",185,65,7,3,5,20
1068,Magasin de surplus militaire,Yakeda,"4,2",172,70,7,5,3,15
1069,Shopping & mode,It's Watch Time - Outlet marque de designer,"4,2",141,74,8,0,2,16
1070,Fabricant de bijoux,Boutique Namasté,"4,2",132,74,9,2,2,13
1071,Bijouterie,Majolie,"4,2",89,55,3,7,8,27
1072,Bijouterie,lily-jewelry.fr,"4,2",46,55,37,0,4,4
1073,Magasin de sous-vêtements,L'Indomptable,"4,2",45,65,20,9,2,4
1074,Magasin de vêtements pour femmes,Sassy X Store,"4,2",45,89,9,0,0,2
1075,Bijouterie,MDSUGAR,"4,2",44,66,23,4,2,5
1076,Magasin de vêtements imprimés,Combinelle,"4,2",35,57,29,11,0,3
1077,Magasin de vêtements pour hommes,les-allies.com,"4,2",33,88,0,0,0,12
1078,Boutique d'accessoires de mode,Bretelles Luce & Ernest,"4,2",32,72,13,9,3,3
1079,Magasin de vêtements imprimés,xr11auto.com,"4,2",29,59,24,17,0,0
1080,Magasin de chaussures,AMTN.CLUB,"4,2",28,89,0,0,0,11
1081,Boutique de lingerie,Scandale éco-lingerie,NA,NA,56,26,18,0,0
1082,Magasin de vêtements,SEVA,"4,2",27,93,0,0,0,7
1083,Magasin de vêtements pour femmes,Luxurybrands Uk,"4,2",25,72,16,0,8,4
1084,Friperie,Occ Frip,"4,2",22,86,9,0,5,0
1085,Magasin de lunettes de soleil,Mymonture,"4,2",21,67,5,0,9,19
1086,Boutique d'accessoires de mode,ÖGON DESIGN,"4,2",19,84,5,0,0,11
1087,Fabricant de bijoux,elkhomssa.com,"4,2",18,72,22,0,0,6
1088,Magasin de vêtements pour enfants,Natoukea,"4,2",17,94,0,0,0,6
1089,Magasin de vêtements vintage,Demain Rétro,"4,2",17,82,0,6,0,12
1090,Magasin de surf,Soon Line,"4,2",17,76,18,0,0,6
1091,Boutique de lingerie,C.I.S,"4,2",17,70,12,6,6,6
1092,Bijouterie,Physis Paris,"4,2",16,88,0,6,0,6
1093,Fabricant de bijoux,Farenson Store,"4,2",14,86,7,0,0,7
1094,Shopping & mode,Fiatope,"4,2",14,79,14,0,7,0
1095,Magasin de vêtements,Jacobs & Jacobs Originals,"4,2",13,84,8,0,0,8
1096,Magasin de vêtements,De La Mode,"4,2",12,84,0,8,8,0
1097,Boutique de lingerie,Meila Paris - maison de lingerie fabriquée en France,"4,2",12,83,0,17,0,0
1098,Magasin de vêtements pour femmes,From Paname with love,"4,2",11,82,9,9,0,0
1099,Magasin de vêtements de sport (activewear),de wasseige equitation eurl,"4,2",11,73,18,9,0,0
1100,Shopping & mode,Mon bola de grossesse,"4,2",11,82,9,0,9,0
1101,Shopping & mode,Le Pull Francais,"4,2",11,82,9,0,9,0
1102,Magasin de vêtements pour femmes,From Paname with love,"4,2",11,82,9,9,0,0
1103,Magasin de vêtements professionnels,Forest Natural Workwear,"4,2",11,82,18,0,0,0
1104,Shopping & mode,PROTEGE UV,"4,2",10,90,0,0,10,0
1105,Magasin de vêtements,Grand Central Store,"4,2",10,90,0,0,0,10
1106,Shopping & mode,Espaibebè,"4,2",10,70,30,0,0,0
1107,Magasin de vêtements,Mb Concept store,"4,2",10,90,10,0,0,0
1108,Magasin de vêtements pour femmes,Alaqsa,"4,2",9,78,11,11,0,0
1109,Magasin de vêtements professionnels,Medecina,"4,2",9,67,33,0,0,0
1110,Magasin de sacs et de valises,Ordinari,"4,2",9,89,11,0,0,0
1111,Bijouterie,Bijoux Charmed,"4,2",9,100,0,0,0,0
1112,Boutique d'accessoires de mode,Ameriandine,"4,2",9,89,11,0,0,0
1113,Boutique de t-shirts personnalisés,CommuniCaen,"4,2",8,87,13,0,0,0
1114,Boutique de sacs à main,CASSYBAGS,"4,2",8,87,13,0,0,0
1115,Boutique d'accessoires de mode,collection astrid,"4,2",8,100,0,0,0,0
1116,Magasin de vêtements pour femmes,Biomode,"4,2",8,100,0,0,0,0
1117,Bijouterie fantaisie,Eleoh creation,"4,2",8,87,13,0,0,0
1118,Magasin de vêtements pour femmes,Morphellashop,"4,2",8,87,13,0,0,0
1119,Cordonnier,Cleanmysneak,"4,2",8,87,13,0,0,0
1120,Magasin de t-shirts,Pop and Wear,"4,2",7,100,0,0,0,0
1121,Magasin de puériculture,Joueteveilbebe,"4,2",7,86,14,0,0,0
1122,Site de comparaison de prix,Banque Info,"4,2",7,86,14,0,0,0
1123,Magasin de vêtements pour femmes,Tonchoixtonstyle,"4,2",7,86,14,0,0,0
1124,Fabricant de bijoux,RETOR,"4,2",7,86,14,0,0,0
1125,Magasin pour femmes enceintes,Odysseum Protect,"4,2",7,86,14,0,0,0
1126,Boutique d'accessoires de mode,Chic En Pap,"4,2",7,86,14,0,0,0
1127,Blanchisserie,Wipure,"4,2",6,100,0,0,0,0
1128,Magasin de chaussures,Léoman,"4,2",6,100,0,0,0,0
1129,Magasin de vêtements,Picole Nationale,"4,2",6,100,0,0,0,0
1130,Marché en ligne,"Izziplace - La Place de Marché Française où Acheter, Vendre, Louer, Donner, devient izzi !","4,2",6,100,0,0,0,0
1131,Magasin de streetwear,Wantohype,"4,2",6,100,0,0,0,0
1132,Marché en ligne,Lilastextile,"4,2",6,100,0,0,0,0
1133,Magasin de chaussures,Dropoffs,"4,2",6,100,0,0,0,0
1134,Bijouterie,A l'aube des pierres,"4,2",6,100,0,0,0,0
1135,Bijouterie,Cipriano Joaillier,"4,2",6,100,0,0,0,0
1136,Magasin de vêtements,Hovaness,"4,2",6,100,0,0,0,0
1137,Bijouterie,ELA Bijoux,"4,2",6,100,0,0,0,0
1138,Bijouterie fantaisie,Inès et Zoé,"4,2",6,100,0,0,0,0
1139,Magasin de streetwear,ARÈS STORE,"4,2",6,100,0,0,0,0
1140,Bijouterie fantaisie,Inès et Zoé,"4,2",6,100,0,0,0,0
1141,Magasin de chaussures,Dropoffs,"4,2",6,100,0,0,0,0
1142,Bijouterie,Cipriano Joaillier,"4,2",6,100,0,0,0,0
1143,Bijouterie,ELA Bijoux,"4,2",6,100,0,0,0,0
1144,Magasin de streetwear,ARÈS STORE,"4,2",6,100,0,0,0,0
1145,Magasin de vêtements,Picole Nationale,"4,2",6,100,0,0,0,0
1146,Magasin de vêtements,Hovaness,"4,2",6,100,0,0,0,0
1147,Marché en ligne,Lilastextile,"4,2",6,100,0,0,0,0
1148,Magasin de chaussures,Léoman,"4,2",6,100,0,0,0,0
1149,Bijouterie,A l'aube des pierres,"4,2",6,100,0,0,0,0
1150,Magasin de vêtements de sport,Maillots d'Or,"4,2",6,100,0,0,0,0
1151,Fabricant de montres,Charly’s Mods,"4,2",6,100,0,0,0,0
1152,Grand magasin,L'imbecileheureux,"4,2",6,100,0,0,0,0
1153,Magasin de vêtements pour femmes,Thesprezzatura,"4,2",6,100,0,0,0,0
1154,Magasin de vêtements pour femmes,Somadame,"4,2",6,100,0,0,0,0
1155,Magasin de vêtements,Kaava Patterns,"4,2",6,100,0,0,0,0
1156,Friperie,julfripes,"4,2",6,100,0,0,0,0
1157,Fabricant de montres,Voron,"4,2",6,100,0,0,0,0
1158,Magasin de vêtements,Le-Tablier.fr,"4,2",6,100,0,0,0,0
1159,Bijouterie fantaisie,Kathleen Bellonde,"4,2",6,100,0,0,0,0
1160,Magasin de chaussures,Hoopley,"4,2",6,100,0,0,0,0
1161,Magasin de sous-vêtements,Solendro,"4,1",4119,75,15,3,2,5
1162,Site de recherche de vols,Jetcost,"4,1",3218,67,16,2,<1,14
1163,Marché en ligne,Miinto,"4,1",1574,79,6,2,1,12
1164,Smart shop,Joko,"4,1",973,55,22,9,5,9
1165,Magasin de vêtements pour femmes,Lilith,"4,1",719,82,9,3,2,4
1166,Horlogerie,Shop On Time - France,"4,1",587,79,8,2,1,10
1167,Boutique de lingerie,Yade,"4,1",451,67,15,2,2,14
1168,Shopping & mode,birminghamwear.com,"4,1",326,73,10,3,2,12
1169,Magasin de sacs,Galanck,"4,1",170,70,17,6,3,4
1170,Fabricant de lingerie,Réjeanne,"4,1",139,67,7,4,6,16
1171,Magasin de vêtements pour hommes,Eshopby3collection,"4,1",117,91,8,0,0,<1
1172,Entreprise de cosmétique,SoCharme Bio,"4,1",92,76,8,3,4,9
1173,Boutique d'accessoires de mode,Supercaps - Le superleader casquettes et accessoires,"4,1",76,85,4,1,1,9
1174,Shopping & mode,Arklight Design,"4,1",75,82,5,3,1,9
1175,Magasin de vêtements,Sneakerhub FR,"4,1",56,69,5,11,4,11
1176,Boutique de lingerie,elia-lingerie.com,"4,1",56,68,9,0,7,16
1177,Magasin de vêtements pour jeunes,Animask,"4,1",50,80,8,2,4,6
1178,Magasin de vêtements,Happy Legs,"4,1",40,62,28,2,3,5
1179,Bijouterie fantaisie,Olline,"4,1",38,76,3,10,0,11
1180,Magasin de maillots de bain,GILI'S SWIMWEAR,"4,1",37,75,19,0,3,3
1181,Décorateur d'intérieur,Le Vintage Illumine,"4,1",33,67,15,9,0,9
1182,Site de comparaison de prix,CheapDigitalDownload,"4,1",30,67,20,3,0,10
1183,Bijouterie fantaisie,Maison 1997,"4,1",28,82,7,4,0,7
1184,Magasin de vêtements pour enfants,GREEN ROSE | FRANCE,"4,1",22,73,4,0,0,23
1185,Bijouterie,Cadeaux Photos,"4,1",22,73,9,4,5,9
1186,Shopping & mode,Destockagecroisieres,"4,1",20,85,0,0,0,15
1187,Magasin de vêtements pour enfants,Yazah,"4,1",19,79,11,5,0,5
1188,Magasin de sacs et de valises,Shopibox,"4,1",19,58,21,5,0,16
