,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
849,Magasin de narguilés,L'As des Chichas,"3,6",3,67,0,0,33,0
850,Magasin d'alimentation bio,Tropicaly - Snack Collection,"3,6",2,50,0,50,0,0
851,"Aliments, boissons & tabac",Graindecafe,"3,6",2,50,0,0,0,50
852,Producteur de produits alimentaires,Lesdelicesdenoemie,"3,6",1,0,100,0,0,0
853,Fabricant de produits alimentaires,Confit de Provence,"3,6",1,0,100,0,0,0
854,Supermarché,Kerbio,"3,6",1,0,100,0,0,0
855,"Aliments, boissons & tabac",Harrys,"3,6",1,0,100,0,0,0
856,"Aliments, boissons & tabac",Chateauletros,"3,6",1,0,100,0,0,0
857,"Aliments, boissons & tabac",Acasetta,"3,6",1,0,100,0,0,0
858,Fournisseur de fontaines à eau,Mistral Constructeur,"3,6",1,0,100,0,0,0
859,Programme de bien-être,Thalado Le Comptoir des Algues,"3,6",1,0,100,0,0,0
860,Agriculteur,Stg 33,"3,6",1,0,100,0,0,0
861,"Aliments, boissons & tabac",Calais Wine,"3,6",1,0,100,0,0,0
862,Caviste,Cahorsbooking,"3,6",1,0,100,0,0,0
863,"Aliments, boissons & tabac",Frenchop,"3,6",1,0,100,0,0,0
864,"Aliments, boissons & tabac",Deco Cool,"3,6",1,0,100,0,0,0
865,"Aliments, boissons & tabac",Vahine FR,"3,6",1,0,100,0,0,0
866,Boutique de café,Cosy,"3,5",60,45,22,8,7,18
867,Marché alimentaire,Feed.,"3,5",39,49,15,0,3,33
868,Boutique de produits diététiques,Team Nutrition - Boutique de Nutrition Sportive et Compléments Alimentaires,"3,5",28,75,14,0,4,7
869,Restaurant,Leon [ex Léon de Bruxelles],"3,5",19,48,5,0,5,42
870,"Aliments, boissons & tabac",Vers La Terre,"3,5",12,25,25,0,8,42
871,Fournisseur de tabac,Tosma,"3,5",11,46,9,18,9,18
872,"Aliments, boissons & tabac",Caramelys Lyon,"3,5",8,75,0,0,25,0
873,Magasin de produits capillaires,Mexsa,"3,5",3,67,0,0,0,33
874,"Aliments, boissons & tabac",Viticulteurs.Market,"3,5",3,33,0,0,0,67
875,Magasin de cannabis,Naturel high cbd,"3,5",3,67,0,0,0,33
876,Magasin de bonbons,Mistral Bonbon,"3,5",2,50,0,50,0,0
877,Fabricant de produits alimentaires,Maison Coudène,NA,0,0,0,0,0,0
878,Cave à vins,Whisky Prestige,NA,0,0,0,0,0,0
879,"Aliments, boissons & tabac",After Life,NA,0,0,0,0,0,0
880,Magasin de vins et spiritueux,Allo Celtia,NA,0,0,0,0,0,0
881,"Aliments, boissons & tabac",LaCave.so,NA,0,0,0,0,0,0
882,"Aliments, boissons & tabac",AILES Nutrition,NA,0,0,0,0,0,0
883,"Aliments, boissons & tabac",République du Vin,NA,0,0,0,0,0,0
884,"Aliments, boissons & tabac",Assurance Decennale-artisan,NA,0,0,0,0,0,0
885,Packaging d'aliments de base,Mylunchbox,NA,0,0,0,0,0,0
886,"Aliments, boissons & tabac",Azurvio,NA,0,0,0,0,0,0
887,"Aliments, boissons & tabac",Les Saumons Francois,NA,0,0,0,0,0,0
888,"Aliments, boissons & tabac",Yannickamirault,NA,0,0,0,0,0,0
889,Agence de visites touristiques,Winalist,NA,0,0,0,0,0,0
890,"Aliments, boissons & tabac",Vinbourgueil,NA,0,0,0,0,0,0
891,"Aliments, boissons & tabac",Humidor Sation,NA,0,0,0,0,0,0
892,"Aliments, boissons & tabac",Vins du Val de Loire,NA,0,0,0,0,0,0
893,"Aliments, boissons & tabac",R. Junca,NA,0,0,0,0,0,0
894,"Aliments, boissons & tabac",Cmaison,NA,0,0,0,0,0,0
895,"Aliments, boissons & tabac",e-garette.fr,NA,0,0,0,0,0,0
896,"Aliments, boissons & tabac",Palaisduvapoteur,NA,0,0,0,0,0,0
897,Grossiste en vins et spiritueux,Patrimoine Partenaires,NA,0,0,0,0,0,0
898,Magasin bio,Thalassa Mediterranee,NA,0,0,0,0,0,0
899,"Aliments, boissons & tabac",CIMOLINO,NA,0,0,0,0,0,0
900,Cave à vins,Succul,NA,0,0,0,0,0,0
901,"Aliments, boissons & tabac",SARL LECOMTE PERE ET FILS,NA,0,0,0,0,0,0
902,Grossiste en vins et spiritueux,Illivino,NA,0,0,0,0,0,0
903,Épicerie,vegan-place.com,NA,0,0,0,0,0,0
904,"Aliments, boissons & tabac",Villa Saint-ferdinand-argenteuil,NA,0,0,0,0,0,0
905,Restauration rapide,FoodMoood,NA,0,0,0,0,0,0
906,Vignoble,Domaineravier,NA,0,0,0,0,0,0
907,"Aliments, boissons & tabac",EL CAFE,NA,0,0,0,0,0,0
908,"Aliments, boissons & tabac",Dlice,NA,0,0,0,0,0,0
909,"Aliments, boissons & tabac",Musculation Boutique,NA,0,0,0,0,0,0
910,"Aliments, boissons & tabac",Enviedebienmanger,NA,0,0,0,0,0,0
911,"Aliments, boissons & tabac",Impulsion bien-être,NA,0,0,0,0,0,0
912,"Aliments, boissons & tabac",Clopenstock,NA,0,0,0,0,0,0
913,"Aliments, boissons & tabac",Nabuco.com,NA,0,0,0,0,0,0
914,"Aliments, boissons & tabac",Aux Grands Crus,NA,0,0,0,0,0,0
915,"Aliments, boissons & tabac",prodelices,NA,0,0,0,0,0,0
916,Caviste,Rouge-Blanc,NA,0,0,0,0,0,0
917,Caviste,Levinitalien,NA,0,0,0,0,0,0
918,"Aliments, boissons & tabac",Gocartegrise,NA,0,0,0,0,0,0
919,Cave à vins,www.blm-whisky.com,NA,0,0,0,0,0,0
920,"Aliments, boissons & tabac",LaCave.so,NA,0,0,0,0,0,0
921,"Aliments, boissons & tabac",AILES Nutrition,NA,0,0,0,0,0,0
922,"Aliments, boissons & tabac",CIMOLINO,NA,0,0,0,0,0,0
923,Caviste,Vinodomia,NA,0,0,0,0,0,0
924,"Aliments, boissons & tabac",Clopenstock,NA,0,0,0,0,0,0
925,"Aliments, boissons & tabac",MR Bricolage,"3,4",426,25,6,2,6,61
926,Marchand de thé,Maté Miam,"3,4",126,60,8,5,2,25
927,Livraison de repas à domicile,Mimiminceur,"3,4",45,42,36,4,2,16
928,Magasin d'alimentation naturelle,Cakespace,"3,4",20,80,0,0,5,15
929,"Aliments, boissons & tabac",Vaping Silver,"3,4",5,60,0,0,20,20
930,"Aliments, boissons & tabac",Alcooldeluxe,"3,4",5,20,20,0,0,60
931,Épicerie italienne,Nonna Domenica,"3,4",2,50,0,0,0,50
932,Service e-commerce,Sayan Shop,"3,4",2,0,50,0,50,0
933,"Aliments, boissons & tabac",Asiamarche,"3,4",1,0,0,100,0,0
934,"Aliments, boissons & tabac",Fanta France,"3,4",1,0,0,100,0,0
935,Magasin de cigarettes électroniques,Arômes et Liquides,"3,3",69,62,3,1,3,31
936,"Aliments, boissons & tabac",Venteinsecte,"3,3",18,50,22,0,6,22
937,Magasin d'alimentation bio,Les Colis du Boucher,"3,3",17,41,6,17,18,18
938,Supermarché,Epices du monde,"3,3",8,50,12,13,0,25
939,Magasin de vaporiseurs,HerbalizeStore,"3,3",3,33,0,0,0,67
940,Fournisseur de machinerie alimentaire,Freshcorna,"3,3",2,50,0,0,0,50
941,"Aliments, boissons & tabac",Trésor de Kellogg's,"3,3",2,0,50,0,0,50
942,Pharmacie en ligne,weedgo.store,"3,3",2,0,50,0,0,50
943,"Aliments, boissons & tabac",Potager City,"3,2",73,29,8,4,21,38
944,Magasin de bonbons,Faller,"3,2",4,75,0,0,0,25
945,"Aliments, boissons & tabac",Happesmoke,"3,2",3,67,0,0,0,33
946,"Aliments, boissons & tabac",mazet confiseur,"3,2",2,0,50,0,0,50
947,Fabricant de produits alimentaires,Vitaline,"3,2",1,0,0,0,0,100
948,"Aliments, boissons & tabac",Demenagements Les-collinettes,"3,2",1,0,0,0,0,100
949,"Aliments, boissons & tabac",Clickandvape,"3,2",1,0,0,0,0,100
950,Magasin de cannabis,Cbdmarketplace,"3,2",1,0,0,0,0,100
951,Magasin de bonbons,Kit Kat Mania,"3,2",1,0,0,0,0,100
952,Boucherie,Viandes à GoGo,"3,2",1,0,0,0,0,100
953,Magasin de vaporiseurs,Planete Sfactory,"3,1",45,49,4,2,5,40
954,Caviste,Plus de bulles,"3,1",12,41,0,17,0,42
955,"Aliments, boissons & tabac",Neovapo,"3,1",5,40,0,0,0,60
956,Confiserie,Ricola,"3,1",4,50,0,25,0,25
957,Fournisseur de tabac,Feuilles tabac,"3,1",3,33,0,0,0,67
958,"Aliments, boissons & tabac",Adispos,"3,1",2,50,0,0,0,50
959,Supermarché,Asiamarche,"3,0",309,65,16,5,2,12
960,"Aliments, boissons & tabac",Lilburger,"3,0",138,41,11,7,10,31
961,Supermarché,Houra,"3,0",93,52,3,10,6,29
962,Magasin de produits de beauté,Mamie Malice,"3,0",17,76,12,0,0,12
963,Magasin bio,Graine De-bonne-sante,"3,0",5,60,0,0,0,40
964,"Aliments, boissons & tabac",HARIBO : bienvenue sur la boutique officielle !,"3,0",5,20,0,20,0,60
965,Service de traiteur,Sainpack,"3,0",3,33,33,0,0,34
966,"Aliments, boissons & tabac",Atelier du Chocolat,"3,0",3,33,33,0,0,34
967,Caviste,MesVinsCacher.Com,"2,9",608,82,11,2,2,3
968,Brasserie,Une Petite Mousse,"2,9",98,66,4,2,10,18
969,"Aliments, boissons & tabac",G.C.P.,"2,9",6,17,0,0,0,83
970,"Aliments, boissons & tabac",Garnier Thiebaut,"2,9",4,25,0,0,50,25
971,Boulangerie,FEUILLETTE,"2,9",3,33,0,0,33,34
972,Fournisseur de matériel agricole,Okazmachines(lrloc),"2,9",3,0,0,0,0,100
973,"Aliments, boissons & tabac",DemarchesAdministratives.FR,"2,9",3,33,0,0,0,67
974,"Aliments, boissons & tabac",GACD,"2,9",2,0,0,0,0,100
975,"Aliments, boissons & tabac",Fermetures Grayo-coutand,"2,9",2,0,0,0,0,100
976,Boulangerie,Labo&Gato,"2,8",1003,79,14,4,1,2
977,Service de traiteur,La Belle Assiette France,"2,8",126,81,11,2,0,6
978,Service informatique,Bonbonvore,"2,8",7,14,0,0,0,86
979,"Aliments, boissons & tabac",Orangina Suntory,"2,8",3,0,33,33,0,34
980,"Aliments, boissons & tabac",caviste-vins-bio.com,"2,8",3,33,0,0,0,67
981,"Aliments, boissons & tabac",Orangina Suntory,"2,8",3,0,33,33,0,34
982,Service de livraison des courses,La belle vie,"2,7",184,29,4,9,14,44
983,Magasin de cannabis,CBDSTREET®,"2,7",115,52,11,9,4,24
984,Magasin d'alimentation bio,Biocoop,"2,7",61,23,15,13,11,38
985,"Aliments, boissons & tabac",Saikiru,"2,7",59,47,2,0,0,51
986,Épicerie fine,Beelixir,"2,7",32,57,9,9,3,22
987,"Aliments, boissons & tabac",Nos Vignes,"2,7",20,85,10,0,0,5
988,"Aliments, boissons & tabac",Happy Smoke,"2,7",4,25,0,0,0,75
989,Magasin de vins et spiritueux,iDealwine,"2,6",24,34,0,4,8,54
990,"Aliments, boissons & tabac",LaNutrition.fr,"2,6",4,25,50,0,0,25
991,Magasin de cigarettes électroniques,EC PROFIL NON OFFICIEL,"2,5",489,51,8,4,2,35
992,Magasin de cigarettes électroniques,LE PETIT FUMEUR,"2,5",53,49,6,2,6,37
993,"Aliments, boissons & tabac",Entomapetfood,"2,5",50,50,2,2,6,40
994,"Aliments, boissons & tabac",Sam Alu,"2,5",19,26,0,0,5,69
995,Boutique de café,CapsuleCafe.com,"2,5",11,9,0,9,0,82
996,"Aliments, boissons & tabac",blackview.fr,"2,5",11,18,0,9,18,55
997,Magasin de bonbons,Biscuits Fossier,"2,5",7,14,0,14,43,29
998,"Aliments, boissons & tabac",Ecig Boutik,"2,5",5,20,0,0,0,80
999,"Aliments, boissons & tabac",My VitiBox,"2,5",5,40,0,0,0,60
1000,Fabricant de produits surgelés,Maison Thiriet,"2,4",275,24,8,10,17,41
1001,Supermarché,Chronodrive,"2,4",43,28,5,16,16,35
1002,Magasin de cigarettes électroniques,Cigastar,"2,4",21,52,5,0,0,43
1003,"Aliments, boissons & tabac",De Neuville,"2,4",20,10,5,0,35,50
1004,Magasin de cannabis,CBD Express,"2,4",18,33,5,6,6,50
1005,Magasin d'alimentation naturelle,Force Ultra Nature,"2,4",17,18,0,12,0,70
1006,Magasin de fruits secs,Homines enim eruditos et sobrio / Homines enim eruditos,"2,4",7,14,0,0,14,72
1007,"Aliments, boissons & tabac",Green-lizard.fr,"2,3",27,74,14,4,4,4
1008,Magasin de vaporiseurs,Namaste Vapes,"2,3",19,21,5,5,5,64
1009,"Aliments, boissons & tabac",Comtesse du Barry,"2,3",8,12,0,0,38,50
1010,Caviste,Phileas Wine Club,"2,2",38,13,16,5,5,61
1011,Caviste,Vin Subtil,"2,2",15,13,7,0,7,73
1012,"Aliments, boissons & tabac",iClope.com,"2,2",8,37,12,13,0,38
1013,"Aliments, boissons & tabac",La Boutique du Gaz,"2,1",62,11,8,3,8,70
1014,Livraison de repas à domicile,bofrost* France,"2,0",315,17,5,2,5,71
1015,Épicerie coréenne,couteauazur.com,"2,0",98,37,0,1,2,60
1016,"Aliments, boissons & tabac",METRO Cash & Carry France,"2,0",25,4,0,0,8,88
1017,"Aliments, boissons & tabac",Davidson Distribution,"2,0",11,18,0,0,0,82
1018,Fournisseur de matériel agricole,DIFFEA,"2,0",10,0,0,0,0,100
1019,Magasin de vins et spiritueux,www.pompe-a-biere.com,"1,9",1361,62,19,9,4,6
1020,Supermarché,Auchan Drive,"1,9",196,10,10,9,13,58
1021,Supermarché,Beth Cacher Boucherie,"1,9",66,56,17,3,4,20
1022,"Aliments, boissons & tabac",Chocolats Lindt France,"1,9",45,9,9,7,7,68
1023,Boulangerie,EquipeCuisineAZ,"1,9",17,18,23,12,6,41
1024,Service de commande de repas en ligne,La French Box,"1,9",16,62,13,0,0,25
1025,"Aliments, boissons & tabac",Royal Art Palace,"1,9",14,0,0,0,0,100
1026,Caviste,Nicolas,"1,8",53,21,13,2,4,60
1027,Caviste,Chateauonline,"1,8",15,0,0,0,7,93
1028,Magasin bio,RelaisBio,"1,8",14,14,0,0,0,86
1029,"Aliments, boissons & tabac",Allobebe,"1,7",366,50,10,3,3,34
1030,"Aliments, boissons & tabac",Idealgourmet,"1,7",19,21,0,5,0,74
1031,"Aliments, boissons & tabac",Recensioni Verificate,"1,6",131,40,2,0,5,53
1032,Épicerie japonaise spécialisée,myjapanbox,"1,6",35,11,3,6,0,80
1033,Boutique de café,Whittard of Chelsea,"1,6",24,55,21,8,8,8
1034,Supermarché,Carrefour France,"1,5",2469,8,3,4,7,78
