,Catégorie,Titre,Score,Avis,5 etoiles,4 etoiles,3 etoiles,2 etoiles,1 etoiles
79,Marché en ligne,Make my Box,"4,8",432,91,6,2,<1,<1
80,Bijouterie,La Maison de l'Alliance & du Diamant,"4,8",424,83,13,3,<1,<1
81,Bijouterie,Eleonaure,"4,8",414,94,4,<1,<1,<1
82,Magasin de vêtements,Creveclothing,"4,8",405,91,6,<1,1,1
83,Fabricant de bijoux,Esprit Lithotherapie,"4,8",395,89,8,2,<1,<1
84,Grand magasin,Laribouldingue Henrys France,"4,8",388,87,8,2,<1,2
85,Magasin de chaussures,Sessile,"4,8",387,87,9,3,<1,<1
86,Bijouterie,Litho Passion,"4,8",359,86,11,2,<1,1
87,Grossiste en vêtements,Main Gauche,"4,8",343,92,6,<1,0,<1
88,Bijouterie fantaisie,Bijoux-bijoux.fr,"4,8",284,83,11,3,<1,2
89,Bijouterie fantaisie,Natural Mystic Shop,"4,8",282,83,13,3,0,1
90,Magasin pour enfants,Nos minis,"4,8",271,95,4,1,0,0
91,Magasin de vêtements pour enfants,La Malle aux Canailles,"4,8",270,95,4,<1,<1,0
92,Bijouterie fantaisie,huguetteparis.com,"4,8",239,92,6,<1,1,<1
93,Boutique d'objets religieux,"Magasin Soubirous - Lourdes, France","4,8",217,92,6,1,0,1
94,Magasin de vêtements pour femmes,Et Paris,"4,8",216,96,2,2,<1,0
95,Magasin de vêtements pour femmes,bottinsarl.com,"4,8",213,90,8,1,<1,<1
96,Boutique d'articles de mode,Dream Act,"4,8",212,89,7,2,<1,<1
97,Magasin de vêtements pour femmes,Paulinemode,"4,8",206,96,2,<1,<1,<1
98,Magasin de gros,Novela Global,"4,8",196,88,10,2,<1,<1
99,Boutique de sacs à main,Ateliers Auguste,"4,8",191,92,4,3,0,1
100,Shopping & mode,Pas de titre,0,0,0,0,0,0,0
101,Bijouterie,Eleonaure,"4,8",414,94,4,<1,<1,<1
102,Magasin de vêtements,Creveclothing,"4,8",405,91,6,<1,1,1
103,Fabricant de bijoux,Esprit Lithotherapie,"4,8",395,89,8,2,<1,<1
104,Grand magasin,Laribouldingue Henrys France,"4,8",388,87,8,2,<1,2
105,Magasin de chaussures,Sessile,"4,8",387,87,9,3,<1,<1
106,Bijouterie,Litho Passion,"4,8",359,86,11,2,<1,1
107,Grossiste en vêtements,Main Gauche,"4,8",343,92,6,<1,0,<1
108,Bijouterie fantaisie,Bijoux-bijoux.fr,"4,8",284,83,11,3,<1,2
